GEOID,NAME,variable,estimate,moe
13001,"Appling County, Georgia",B01001_001,18454,NA
13003,"Atkinson County, Georgia",B01001_001,8265,NA
13005,"Bacon County, Georgia",B01001_001,11228,NA
13007,"Baker County, Georgia",B01001_001,3189,NA
13009,"Baldwin County, Georgia",B01001_001,45286,NA
13011,"Banks County, Georgia",B01001_001,18510,NA
13013,"Barrow County, Georgia",B01001_001,76887,NA
13015,"Bartow County, Georgia",B01001_001,103620,NA
13017,"Ben Hill County, Georgia",B01001_001,17154,NA
13019,"Berrien County, Georgia",B01001_001,19025,NA
13021,"Bibb County, Georgia",B01001_001,153490,NA
13023,"Bleckley County, Georgia",B01001_001,12775,NA
13025,"Brantley County, Georgia",B01001_001,18561,NA
13027,"Brooks County, Georgia",B01001_001,15622,NA
13029,"Bryan County, Georgia",B01001_001,35885,NA
13031,"Bulloch County, Georgia",B01001_001,74782,NA
13033,"Burke County, Georgia",B01001_001,22550,NA
13035,"Butts County, Georgia",B01001_001,23750,NA
13037,"Calhoun County, Georgia",B01001_001,6428,NA
13039,"Camden County, Georgia",B01001_001,52714,NA
13043,"Candler County, Georgia",B01001_001,10827,NA
13045,"Carroll County, Georgia",B01001_001,116022,NA
13047,"Catoosa County, Georgia",B01001_001,66299,NA
13049,"Charlton County, Georgia",B01001_001,12983,NA
13051,"Chatham County, Georgia",B01001_001,287049,NA
13053,"Chattahoochee County, Georgia",B01001_001,10767,NA
13055,"Chattooga County, Georgia",B01001_001,24817,NA
13057,"Cherokee County, Georgia",B01001_001,241910,NA
13059,"Clarke County, Georgia",B01001_001,124602,NA
13061,"Clay County, Georgia",B01001_001,3001,NA
13063,"Clayton County, Georgia",B01001_001,278666,NA
13065,"Clinch County, Georgia",B01001_001,6743,NA
13067,"Cobb County, Georgia",B01001_001,745057,NA
13069,"Coffee County, Georgia",B01001_001,42961,NA
13071,"Colquitt County, Georgia",B01001_001,45606,NA
13073,"Columbia County, Georgia",B01001_001,147295,NA
13075,"Cook County, Georgia",B01001_001,17184,NA
13077,"Coweta County, Georgia",B01001_001,140516,NA
13079,"Crawford County, Georgia",B01001_001,12344,NA
13081,"Crisp County, Georgia",B01001_001,22846,NA
13083,"Dade County, Georgia",B01001_001,16227,NA
13085,"Dawson County, Georgia",B01001_001,23861,NA
13087,"Decatur County, Georgia",B01001_001,26833,NA
13089,"DeKalb County, Georgia",B01001_001,743187,NA
13091,"Dodge County, Georgia",B01001_001,20919,NA
13093,"Dooly County, Georgia",B01001_001,13905,NA
13095,"Dougherty County, Georgia",B01001_001,91049,NA
13097,"Douglas County, Georgia",B01001_001,141840,NA
13099,"Early County, Georgia",B01001_001,10348,NA
13101,"Echols County, Georgia",B01001_001,3994,NA
13103,"Effingham County, Georgia",B01001_001,58689,NA
13105,"Elbert County, Georgia",B01001_001,19212,NA
13107,"Emanuel County, Georgia",B01001_001,22499,NA
13109,"Evans County, Georgia",B01001_001,10727,NA
13111,"Fannin County, Georgia",B01001_001,24925,NA
13113,"Fayette County, Georgia",B01001_001,111369,NA
13115,"Floyd County, Georgia",B01001_001,96824,NA
13117,"Forsyth County, Georgia",B01001_001,219880,NA
13119,"Franklin County, Georgia",B01001_001,22514,NA
13121,"Fulton County, Georgia",B01001_001,1021902,NA
13123,"Gilmer County, Georgia",B01001_001,29922,NA
13125,"Glascock County, Georgia",B01001_001,3009,NA
13127,"Glynn County, Georgia",B01001_001,83974,NA
13129,"Gordon County, Georgia",B01001_001,56790,NA
13131,"Grady County, Georgia",B01001_001,24926,NA
13133,"Greene County, Georgia",B01001_001,16976,NA
13135,"Gwinnett County, Georgia",B01001_001,902298,NA
13137,"Habersham County, Georgia",B01001_001,44289,NA
13139,"Hall County, Georgia",B01001_001,195961,NA
13141,"Hancock County, Georgia",B01001_001,8535,NA
13143,"Haralson County, Georgia",B01001_001,28956,NA
13145,"Harris County, Georgia",B01001_001,33590,NA
13147,"Hart County, Georgia",B01001_001,25631,NA
13149,"Heard County, Georgia",B01001_001,11677,NA
13151,"Henry County, Georgia",B01001_001,221307,NA
13153,"Houston County, Georgia",B01001_001,151682,NA
13155,"Irwin County, Georgia",B01001_001,9268,NA
13157,"Jackson County, Georgia",B01001_001,65755,NA
13159,"Jasper County, Georgia",B01001_001,13784,NA
13161,"Jeff Davis County, Georgia",B01001_001,14991,NA
